,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
0, Beyblade Burst,3DS,Role-Playing,FuRyu,0.0,0.0,0.03,0.0,0.03,0,25
1, Fire Emblem Fates,3DS,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,0,665
2, Frozen: Olaf's Quest,3DS,Platform,Disney Interactive Studios,0.48,0.53,0.0,0.09,1.12,1,110
3, Haikyu!! Cross Team Match!,3DS,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0,765
4, Tales of Xillia 2,PS3,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,0,765
5,'98 Koshien,PS,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,1,1
6,.hack//G.U. Vol.1//Rebirth,PS2,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,0,765
7,.hack//G.U. Vol.2//Reminisce,PS2,Role-Playing,Namco Bandai Games,0.11,0.09,0.0,0.03,0.23,0,765
8,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,0,765
9,.hack//G.U. Vol.3//Redemption,PS2,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,0,765
10,.hack//Infection Part 1,PS2,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,0,277
11,.hack//Link,PSP,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,0,765
12,.hack//Mutation Part 2,PS2,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,0,277
13,.hack//Outbreak Part 3,PS2,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,0,277
14,.hack//Quarantine Part 4: The Final Chapter,PS2,Role-Playing,Atari,0.09,0.07,0.0,0.02,0.18,0,277
15,.hack: Sekai no Mukou ni + Versus,PS3,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,0,765
16,007 Racing,PS,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,0,598
17,007: Quantum of Solace,X360,Action,Activision,1.8299999999999998,1.32,0.04,0.67,3.86,2,401
18,007: The World is not Enough,N64,Action,Electronic Arts,1.64,0.73,0.02,0.09,2.47,1,598
19,007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21,2,598
20,1 vs. 100,DS,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,0,5
21,1/2 Summer +,PSP,Adventure,Kaga Create,0.0,0.0,0.01,0.0,0.01,0,5
22,10 Minute Solution,Wii,Sports,Activision,0.06,0.01,0.0,0.01,0.08,0,401
23,100 All-Time Favorites,DS,Puzzle,Ubisoft,0.35,0.12,0.0,0.04,0.51,0,564
24,100 Classic Books,DS,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,0,665
25,100 Classic Games,DS,Misc,Rondomedia,0.0,0.03,0.0,0.0,0.04,0,13
26,1000 Cooking Recipes from ELLE à table,DS,Misc,Nintendo,0.0,0.02,0.0,0.0,0.03,0,665
27,1001 Touch Games,DS,Action,Avanquest,0.11,0.16,0.0,0.04,0.31,1,26
28,101-in-1 Explosive Megamix,DS,Puzzle,Nordcurrent,0.05,0.12,0.0,0.02,0.19,0,5
29,101-in-1 Party Megamix Wii,Wii,Misc,Nordcurrent,0.19,0.01,0.0,0.02,0.22,0,5
30,101-in-1 Sports Megamix,DS,Sports,Nordcurrent,0.08,0.0,0.0,0.01,0.08,0,5
31,101-in-1 Sports Party Megamix,Wii,Sports,Nordcurrent,0.02,0.0,0.0,0.0,0.03,0,5
32,1080°: TenEighty Snowboarding,N64,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,1,665
